date;time;bid;ask;lo;hi;first;dn;up;time;fund
171110;000001;7147.5;7155.0;7137.0;7211.0;1;1;1;28.16;-0.0771
171110;000801;7187.0;7197.5;7158.0;7350.0;1;3;3;7.57;-0.0771
171110;005257;7296.5;7305.0;7285.5;7360.5;1;1;1;4.33;-0.0771
171110;005956;7337.0;7348.0;7275.5;7362.5;1;2;1;5.79;-0.0771
171110;010749;7297.0;7306.5;7246.0;7336.5;-1;4;4;12.35;-0.0771
171110;021018;7266.0;7273.5;7245.5;7319.0;-1;2;3;15.96;-0.0771
171110;032519;7294.5;7306.0;7212.0;7330.0;1;3;2;30.01;-0.0771
171110;054718;7239.5;7247.0;7164.0;7257.0;-1;3;3;0.88;-0.0061
171110;080404;7184.5;7192.0;7160.5;7234.0;-1;4;5;57.81;-0.0061
171110;090543;7207.5;7221.5;7139.5;7224.0;1;2;1;28.95;-0.0061
171110;094124;7160.0;7167.5;7089.0;7166.0;1;1;0;50.59;-0.0061
171110;104522;7105.5;7113.0;7050.0;7127.0;-1;1;1;27.07;-0.0061
171110;110417;7066.0;7073.5;6957.0;7086.0;-1;2;2;11.92;-0.0061
171110;112205;6986.0;6994.0;6863.0;7014.0;-1;3;3;1.06;-0.0061
171110;113051;6898.5;6907.0;6820.0;6909.5;-1;1;1;0.11;-0.0061
171110;113129;6846.5;6863.5;6809.5;6883.0;-1;3;4;0.01;-0.0061
171110;113433;6852.5;6885.0;6848.5;6945.0;1;1;1;12.86;-0.0061
171110;115143;6916.0;6923.5;6784.0;6924.5;1;2;1;3.47;-0.0061
171110;120643;6815.5;6824.5;6819.0;6910.0;-1;0;1;2.14;0.0053
171110;121142;6877.0;6890.0;6770.0;6910.0;1;4;3;4.91;0.0053
171110;125012;6803.0;6813.5;6752.0;6822.5;1;4;3;0.69;0.0053
171110;125606;6766.0;6773.5;6750.5;6847.5;-1;3;4;4.36;0.0053
171110;131057;6813.5;6831.0;6735.0;6860.0;1;2;1;14.68;0.0053
171110;133129;6763.0;6772.5;6759.0;6867.0;-1;1;2;2.65;0.0053
171110;140143;6833.0;6843.5;6767.0;6859.5;1;6;5;23.41;0.0053
171110;144235;6787.5;6795.0;6761.0;6830.0;-1;4;5;16.05;0.0053
171110;152505;6807.0;6819.5;6793.0;6892.5;1;1;1;6.73;0.0053
171110;160546;6863.5;6871.0;6863.0;6950.0;1;1;1;20.78;0.0053
171110;163753;6924.0;6933.5;6743.0;6933.5;1;1;0;318.21;0.0053
171110;170639;6789.5;6803.5;6741.0;6813.0;1;2;2;0.01;0.0053
171110;170938;6789.0;6801.0;6743.5;6816.5;1;3;3;26.98;0.0053
171110;173613;6791.0;6802.5;6663.5;6799.0;1;1;0;20.13;0.0053
171110;180416;6693.5;6701.0;6600.0;6699.0;1;1;0;14.55;0.0053
171110;180650;6622.0;6629.5;6590.0;6679.5;1;3;2;0.22;0.0053
171110;180944;6616.5;6683.0;6600.5;6680.0;1;1;0;261.97;0.0053
171110;181520;6617.5;6626.0;6582.5;6659.5;1;1;1;7.35;0.0053
171110;181936;6632.0;6649.5;6558.0;6646.0;1;1;0;22.36;0.0053
171110;182926;6576.5;6584.0;6527.5;6612.0;1;2;2;4.18;0.0053
171110;183428;6586.5;6596.0;6482.0;6621.0;1;5;4;7.85;0.0053
